timestamp,export_energy,export_power,import_energy,import_power
2024-01-01 00:00:00,12.3,5.2,45.2,18.1
2024-01-01 00:15:00,10.5,4.2,42.8,17.1
2024-01-01 00:30:00,8.7,3.5,40.1,16.0
2024-01-01 00:45:00,6.2,2.5,38.5,15.4
2024-01-01 01:00:00,4.1,1.6,36.9,14.8
2024-01-01 01:15:00,2.8,1.1,35.2,14.1
2024-01-01 01:30:00,1.5,0.6,34.8,13.9
2024-01-01 01:45:00,0.8,0.3,33.9,13.6
2024-01-01 02:00:00,15.2,6.1,28.5,11.4
2024-01-01 02:15:00,13.8,5.5,26.1,10.4
2024-01-01 02:30:00,11.9,4.8,24.3,9.7
2024-01-01 02:45:00,9.5,3.8,22.8,9.1
2024-01-01 03:00:00,7.2,2.9,21.2,8.5
2024-01-01 03:15:00,5.1,2.0,19.8,7.9
2024-01-01 03:30:00,3.2,1.3,18.5,7.4
2024-01-01 03:45:00,1.8,0.7,17.2,6.9
